"NamesIdx";"Name";"County";"Phillimore";"NameCode";"GenderCode";"ChurchCode";"Xrefs"
50;"(...) of Barthetona";"SUF";"41,11";;"M";"-";
100;"A";"ESS";"34,15";;"M";"-";
150;"A";"NFK";"9,10;89";;"M";"-";
200;"Abba";"LIN";"68,43";;"M";"-";
250;"Abba";"NFK";"1,61. 9,7";;"M";"-";
300;"Abba";"NTH";"23,19";;"M";"-";
350;"Abba";"OXF";"EN11";;"M";"-";
400;"Abba, Earl Harold's man";"HRT";"1,10";;"M";"-";
450;"Abbot";;;;;;"see Abbud"
500;"Abbotsbury (St Peter), abbey of";"DOR";"13. 23,1. 55,3";;"-";"a";
550;"Abel {the monk}";"KEN";"3,5";;"M";"d";
600;"Abingdon (St Mary), abbey of";"BRK";"7. B2;8. (21,15)";;"-";"a";
650;"Abingdon (St Mary), abbey of";"GLS";"13. 56,2";;"-";"a";
700;"Abingdon (St Mary), abbey of";"OXF";"9. B8. EBe1";;"-";"a";
750;"Abingdon (St Mary), abbey of";"WAR";"7. 17,67-68";;"-";"a";
800;"Abraham the priest";"GLS";"W4";;"M";"d";
850;"Abbud";"DEV";"3,95";;"M";"-";
900;"Acard of Ivry";"BDF";"23,17";;"M";"-";
950;"Acard (of Ivry)";"BUK";"17,22";;"M";"-";
1000;"Acard (of Ivry)";"WOR";"23,11-12";;"M";"-";
1050;"Acard the priest";"SUS";"11,81";;"M";"d";
1100;"Acard (the priest)";"SUS";"11,96";;"M";"-";
1150;"Acwulf <of Thelnetham>";"NFK";"7,8";;"M";"-";
1200;"Acwulf <of Thelnetham>";"SUF";"12,1. 59,1";;"M";"-";
1250;"Adam <of Leasingham>";"LIN";"7,32(-33);52";;"M";"-";
1300;"Adam son of Durand Malsor";"ESS";"63";;"M";"-";
1350;"Adam (son of Hubert)";"ESS";"EKt";;"M";"-";
1400;"Adam (son of Hubert)";"HRT";"5,2-6;17-19";;"M";"-";
1450;"Adam son of Hubert";"KEN";"5,6;24-25;71-77;93;125;130. 13,1";;"M";"-";
1500;"Adam (son of Hubert)";"KEN";"5,40;94;104-107;141-142;154;163;184. 7,14. 9,51";;"M";"-";
1550;"Adam (son of Hubert)";"NTH";"2,11";;"M";"-";
1600;"Adam son of Hubert";"OXF";"7,45";;"M";"-";
1650;"Adam (son of Hubert)";"OXF";"7,12;22;39(-40);47;52-53";;"M";"-";
1700;"Adam son of Hubert";"SUR";"5,8;18";;"M";"-";
1750;"Adam son of Robert son of William";"HRT";"{8,1 note}";;"M";"-";
1800;"{Adbrei}";"BRK";"B8";;"M";"-";
1850;"Adelaide";;;;;;"see Adeliza; Countess of Aumale"
1900;"Adelard";"CHS";"R3,1";;"M";"-";
1950;"Adelelm";"HEF";"23,5-6";;"M";"-";
2050;"Adelelm";"LIN";"26,22";;"M";"-";
2100;"Adelelm";"NFK";"13,20. 66,28";;"M";"-";
2150;"Adelelm";"WIL";"24,18;26";;"M";"-";
2200;"Adelelm (of Burgate)";"ESS";"35,7;12";;"M";"-";
2250;"Adelelm (of Burgate)";"SUF";"35,5;7-8";;"M";"-";
2270;"Adelelm <of Hoby>";"LEC";"36,2";;"M";"-";
2280;"Adelelm <of Hoby>";"YKS";"14E17";;"M";"-";
2300;"Adelelm (of Kingston)";"BRK";"22,12";;"M";"-";
2350;"Adelina the jester";"HAM";"1,25";;"F";"-";
2360;"(Adelina) wife of Roger of Ivry";;;;;;"see Roger of Ivry's wife (Adelina)"
2400;"Adeliza wife of Hugh of Grandmesnil";"BDF";"54";;"F";"-";
2450;"Adeliza wife of Hugh of Grandmesnil";"HRT";"43";;"F";"-";
2500;"Adeliza wife of Hugh of Grandmesnil";"LEC";"41";;"F";"-";
2550;"Adeliza wife of Hugh of Grandmesnil";"WAR";"45";;"F";"-";
2600;"Adelo";"SUF";"{14,36}.";;"M";"-";
2650;"Adelo";"YKS";"9W39";;"M";"-";
2700;"Adelulf <of Croxton>";"CAM";"26,23;43";;"M";"-";
2800;"Adelulf of Marck";"ESS";"20,15;27";;"M";"-";
2850;"Adelulf (of Marck)";"ESS";"20,13;22;24;29;54;57-58;68-69;79";;"M";"-";
2860;"Adelulf <of Wye>";"KEN";"6,1";;"M";"-";
2900;"Adelulf the chamberlain";;;;;;"see Aethelwold the chamberlain"
2950;"Adelund <of Newton>";"SUF";"14,32;36;58;98";;"M";"-";
3000;"Adestan";;;;;;"see Estan"
3050;"Adulf";"DEV";"1,72";"L";"M";"-";
3100;"Adulf";"HEF";"15,5";"L";"M";"-";
3150;"Adulf";"SOM";"19,24;76. 21,78";"L";"M";"-";
3200;"Aedi";"SUF";"6,171";;"M";"-";
3250;"Aefic <of Ashe>";"DBY";"6,37-38;42";;"M";"-";
3300;"Aefic <of Catworth>";"HUN";"19,12. 29,3";;"M";"-";
3350;"Aefic <of Wishford>";"WIL";"68,32";;"M";"-";
3390;"Aelbert <of Burthy>";"CON";"5,3,16-17";;"M";"-";
3400;"Aelbert <of Colchester>";"ESS";"B3a";;"M";"-";
3450;"Aelbert <of Quarme>";"SOM";"43,1";;"M";"-";
3550;"Aelbert the steward of Abbot of Ely";"CAM";"32,37";;"M";"-";
3600;"Aelbert (the steward of Abbot of Ely)";"CAM";"32,{36};39";;"M";"-";
3650;"Aeldiet";"WOR";"19,13 note";;"F";"-";
3750;"Aeleva";"DEV";"17,19";;"F";"-";
3800;"Aeleva";"DOR";"49,2";;"F";"-";
3850;"Aeleva";"NTH";"27,1";;"F";"-";
3900;"Aeleva";"SOM";"21,57";;"F";"-";
3950;"Aeleva";"WAR";"22,22. 28,13. EN4. EBW5";;"F";"-";
3990;"Aeleva <of Knoyle>";"BRK";"1,8. 61,2";;"F";"-";
4000;"Aeleva <of Knoyle>";"WIL";"1,20. 13,9";;"F";"-";
4050;"Aeleva the widow";"NTH";"18,(50-)51";;"F";"-";
4100;"Aelfeth";;;;;;"see also Godwin son of"
4150;"Aelfeva";"BRK";"65,17";;"F";"-";
4200;"Aelfeva";"CON";"5,2,6";;"F";"-";
4250;"Aelfeva";"DEV";"16,40;166. 23,25. 24,2-4. 25,20. 34,31. 36,7. 37,1. 52,50";;"F";"-";
4300;"Aelfeva";"DOR";"26,71. 57,14";;"F";"-";
4350;"Aelfeva";"ESS";"37,5. 90,20. B3a";;"F";"-";
4400;"Aelfeva";"HAM";"64,1";;"F";"-";
4450;"Aelfeva";"HEF";"34,2";;"F";"-";
4500;"Aelfeva";"KEN";"5,69";;"F";"-";
